document_id,word,TF,DF,IDF,TF-IDF
1,a,0.0556,191,2.511,0.1395
1,about,0.0556,37,4.1309,0.2295
1,caveman,0.0556,1,7.0753,0.3931
1,conversation,0.0556,1,7.0753,0.3931
1,dad,0.0556,2,6.6699,0.3705
1,ever,0.0556,6,5.8226,0.3235
1,have,0.0556,49,3.8565,0.2142
1,infuriating,0.0556,1,7.0753,0.3931
1,is,0.0556,163,2.6686,0.1483
1,most,0.0556,15,4.9959,0.2776
1,my,0.0556,49,3.8565,0.2142
1,pointless,0.0556,1,7.0753,0.3931
1,the,0.0556,295,2.0781,0.1155
1,thing,0.0556,9,5.4659,0.3037
1,to,0.0556,227,2.3391,0.13
1,trying,0.0556,3,6.3822,0.3546
1,vegetarianism,0.0556,11,5.2836,0.2935
1,with,0.0556,67,3.549,0.1972
2,4,0.0833,11,5.2836,0.4403
2,altright,0.0833,5,5.9767,0.4981
2,at,0.0833,45,3.9399,0.3283
2,israel,0.0833,12,5.2035,0.4336
2,latestnews,0.0833,1,7.0753,0.5896
2,nativeamerican,0.0833,1,7.0753,0.5896
2,newmexico,0.0833,1,7.0753,0.5896
2,of,0.0833,180,2.57,0.2142
2,palestine,0.0833,8,5.5713,0.4643
2,politics,0.0833,3,6.3822,0.5318
2,protesting,0.0833,2,6.6699,0.5558
2,rise,0.0833,3,6.3822,0.5318
3,a,0.1538,191,2.511,0.3863
3,and,0.0769,147,2.7713,0.2132
3,are,0.0769,59,3.6741,0.2826
3,gentleman,0.0769,1,7.0753,0.5443
3,guy,0.0769,8,5.5713,0.4286
3,pence,0.0769,2,6.6699,0.5131
3,president,0.0769,15,4.9959,0.3843
3,stand,0.0769,2,6.6699,0.5131
3,up,0.0769,31,4.3028,0.331
3,user,0.0769,347,1.9163,0.1474
3,vice,0.0769,1,7.0753,0.5443
3,you,0.0769,79,3.3865,0.2605
4,with,0.05,67,3.549,0.1774
4,user,0.2,347,1.9163,0.3833
4,you,0.05,79,3.3865,0.1693
4,blocked,0.1,1,7.0753,0.7075
4,by,0.05,43,3.9843,0.1992
4,flynn,0.1,2,6.6699,0.667
4,he,0.05,32,4.272,0.2136
4,isnt,0.05,5,5.9767,0.2988
4,like,0.05,31,4.3028,0.2151
4,looks,0.05,5,5.9767,0.2988
